Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Armenia,ARM,"Agriculture, forestry, and fishing, value added (annual % growth)",NV.AGR.TOTL.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.999996739,-8.700001288,-5.799997739,3.099995697,4.000002755,1.994688228,-4.499539797,12.85923609,1.400004972,-1.099999992,12.13713128,3.869017254,4.213302957,14.53794519,11.27815014,0.483597757,10.30000802,3.000000012,5.922553817,-15.90577663,14,9.500000009,7.6,6.100000006,13.2,-4.999999999,-5.100000003,-6.900000005,-5.8,-3.699999994,-0.8,-0.7,
American Samoa,ASM,"Agriculture, forestry, and fishing, value added (annual % growth)",NV.AGR.TOTL.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,"Agriculture, forestry, and fishing, value added (annual % growth)",NV.AGR.TOTL.KD.ZG,,,,,,,,,,,,,,,,,,,14.10047887,-27.38748413,-5.343103399,-18.26164719,-16.53919448,-2.037381032,-6.143826543,-4.362834393,6.962689039,14.5254268,6.291334991,5.204139736,6.090479767,3.48062954,4.328751097,4.06504065,-1.293103448,-8.378820961,-2.085195115,4.958929115,4.260869565,3.280511537,3.33781965,-2.13597291,12.0308757,5.987170349,-1.950235373,11.70553269,5.689725747,-0.929512006,-6.880375293,-14.04282116,1.636141636,13.62325805,10.42261994,-16.19449741,-0.390053632,0.424212759,2.664500406,14.32188637,1.024363234,0.671416827,1.606097727,0.616208975,3.408334443,
Australia,AUS,"Agriculture, forestry, and fishing, value added (annual % growth)",NV.AGR.TOTL.KD.ZG,,,,,,,,,,,,,,,,,8.271965171,2.669290328,-3.270697054,21.70916609,-12.29827293,-12.32799322,16.3582804,-21.86313291,43.29975194,0.194305094,-6.984944113,1.072782411,-2.160297041,4.412159313,8.194434246,5.544621649,-5.307998971,5.259226564,4.141668279,-14.65341015,21.0705861,8.033332334,0.721400627,10.05481943,6.855898476,3.968142422,3.199351118,-21.53305388,25.63367742,4.287549276,2.907198981,-15.13650715,8.185001459,17.27804001,-0.734039903,3.411592076,0.920445847,-0.851000851,1.112064783,1.470751061,-7.130776365,9.383934516,-2.771312972,-10.53397164,-9.728539381,22.98800784,15.72156826,
Austria,AUT,"Agriculture, forestry, and fishing, value added (annual % growth)",NV.AGR.TOTL.KD.ZG,,,,,,,,,,,,,,,,,,-2.216170998,1.350689299,3.211774707,-2.253817193,-3.800920887,6.757958086,-3.454714348,0.250253536,-3.349128643,2.057529231,-1.040934691,3.051574199,-0.501576909,7.622929039,-2.985202683,-2.074945538,-1.83033697,7.801577093,0.27215988,-0.056941506,0.315194584,5.147575223,4.873501533,-3.598387302,-0.682198777,-1.616131234,-2.457551385,8.580357789,-2.310380336,-1.495327634,9.423132391,7.175844163,-6.606852553,-5.076501725,14.25428558,-7.234485823,-2.979538738,2.779666321,2.098126045,2.244235793,5.213475122,2.889243668,-3.225064634,-7.521020405,6.356333623,6.622658776,
Azerbaijan,AZE,"Agriculture, forestry, and fishing, value added (annual % growth)",NV.AGR.TOTL.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-16.29999775,-12.80000262,-7.000006008,3.000005168,-6.900003136,6.200004615,7.099988296,19.58734491,11.09999955,6.399466523,5.608741703,4.995563729,7.49812405,0.9,4.001807792,6.102048635,3.50400998,-1.999816372,5.813359661,6.608666262,4.901019952,-2.600729997,6.60040443,2.60000171,4.200002037,4.599994751,7.26741649,1.900000718,3.298440461,3.395778564,
Burundi,BDI,"Agriculture, forestry, and fishing, value added (annual % growth)",NV.AGR.TOTL.KD.ZG,,,,,,,4.457642575,-4.063162218,-4.844583066,-0.281300394,39.73625363,19.24797098,-9.953984073,12.02237717,-4.002401441,4.610599431,3.6431242,4.096030688,-2.676761108,1.479249738,1.278106022,14.10732047,-7.587033791,4.391812547,-3.615162897,13.12854632,4.128402669,5.197875188,1.586688538,-2.172874806,5.566252719,2.129731044,3.139999999,-4.379999988,-9.730000006,-6.770000016,1.510000003,3.330000003,1.930000008,-1.040000006,-5.178650092,-3.442938187,4.234388388,-3.513826143,-0.239338316,-6.560406975,3.189172213,-9.33897523,1.964164661,-1.176952879,1.615687016,-1.35817145,2.134247674,8.41591434,-3.579693446,-3,-2.200002899,0.299997163,2.999990712,3.09999,2.80036,3.409368374,-0.79767,
Belgium,BEL,"Agriculture, forestry, and fishing, value added (annual % growth)",NV.AGR.TOTL.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2.864125122,3.21676328,0.672098697,6.63039005,-7.110081907,10.37809889,-3.291647497,7.183634634,-2.719606182,8.868057572,-0.270507106,0.60742665,-6.170495538,10.76487252,2.038728535,0.171870524,-14.18001144,0.241576076,18.84738439,-7.114638325,4.34733514,-8.473108971,1.241428234,-0.615049243,2.291332106,-14.15607291,
Benin,BEN,"Agriculture, forestry, and fishing, value added (annual % growth)",NV.AGR.TOTL.KD.ZG,,,,,,,,,,,,-3.650403636,3.419558764,13.88178576,-14.38685612,-5.407826611,11.24022267,-0.435643106,10.49911296,4.749882643,3.099394187,-7.184573676,1.895631155,0,19.08066014,9.322651083,5.129916549,-7.604563754,14.19753348,7.840535777,2.52610373,8.092227706,0.668935882,10.12693098,3.282737488,5.766855549,5.6035718,6.083006753,5.246946549,5.982777428,4.570041301,8.740805302,3.037345065,1.77398856,7.11810304,1.426646303,7.067705608,6.031579491,2.095569077,7.782352483,-0.833877856,0.951894911,5.44444085,6.109523957,8.257282707,0.022744419,8.966194504,7.564112603,7.329068917,5.159579593,1.75332966,5.197477597,4.823496093,
Burkina Faso,BFA,"Agriculture, forestry, and fishing, value added (annual % growth)",NV.AGR.TOTL.KD.ZG,,,,,,,,,,,,1.156364938,-0.294281077,-5.604747979,15.0001624,-0.815684493,3.836347672,-5.804730979,5.601395494,-6.440635984,2.472188637,8.073613476,2.78900349,0.290128285,-1.062544606,7.201729524,12.5527117,-10.15599735,17.935507,-1.366136295,-6.528589269,20.61679717,2.559174063,9.815052642,0.5259406,6.363435152,12.53511483,-3.900220072,16.55237637,1.404823942,-5.183451132,8.129158156,-0.885983379,9.263104494,-5.172772701,12.21096742,1.646288309,-5.142126206,16.13293002,-10.32819169,14.56677576,-2.258923583,8.518101912,6.207949539,4.403375953,-3.167542701,4.16376035,-0.202914926,8.555423838,-0.903222113,0.511451273,-7.307692876,5.702105502,
Bangladesh,BGD,"Agriculture, forestry, and fishing, value added (annual % growth)",NV.AGR.TOTL.KD.ZG,,5.208136666,5.246177198,-3.364688932,9.538324061,-1.066446185,2.5904944,-2.693533641,10.27067214,0.972407135,5.422769301,-4.508098223,-10.70660626,0.272871769,6.438208427,-4.563524652,8.387863927,-3.658242081,7.834220164,-0.664807058,-1.518205102,3.303884672,1.02373719,3.889743451,4.905098749,0.190430821,3.325031424,0.095033405,-0.436044383,-0.177027262,9.211673781,2.129153236,2.323351117,2.389076739,0.737008392,-0.372499007,2.967581283,4.518572147,3.93540914,3.881541663,7.390266092,2.757926823,-0.118901139,3.983851121,4.973513596,4.382454979,5.552717783,6.692496277,4.493867872,3.466088471,6.151947121,4.456368994,3.014271413,2.464887536,4.371870053,3.328381063,2.786267951,3.196007227,3.544539901,3.260577684,3.420947932,3.174571822,3.053950554,
Bulgaria,BGR,"Agriculture, forestry, and fishing, value added (annual % growth)",NV.AGR.TOTL.KD.ZG,,,,,,,,,,,,,,,,,,,,,,4.470257244,5.792606087,-16.33654342,11.68066336,-20.61757112,22.04569097,-14.63513987,7.645743636,-4.974832867,-3.699012978,7.697086572,-14.7573529,-30.21988463,9.470742598,13.91911601,-3.710997847,47.82104339,-19.19377932,-4.570157135,-10.97579984,0.625299731,5.211435079,-1.611294453,3.685105522,-8.460611824,-0.851033285,-27.06917423,31.79464932,-8.873286645,-10.8629467,5.708713837,-11.0408279,3.630115301,7.033504678,-7.850084872,7.467853719,8.457815142,-1.98472782,4.099056564,-3.301804924,28.84426576,-4.447905763,
Bahrain,BHR,"Agriculture, forestry, and fishing, value added (annual % growth)",NV.AGR.TOTL.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.126917713,2.671891699,9.19500347,-8.547823324,1.598332175,2.086183311,1.474036851,11.35688346,-3.112955826,6.946144431,-0.858369099,3.764790765,-0.978737015,0.144933235,7.249917261,4.386086493,
"Bahamas, The",BHS,"Agriculture, forestry, and fishing, value added (annual % growth)",NV.AGR.TOTL.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.775230044,24.19109246,-13.6249708,10.37950079,1.041097983,-2.420840226,8.658933353,-8.470448372,-9.603760913,-6.092124814,9.018987342,3.701015965,11.89643107,9.693558474,-6.955530217,-9.31372549,-9.594594595,-6.352765321,3.431763767,3.317901235,1.194921583,-7.675276753,3.117505995,-18.60465116,-6,0.709219858,5.030181087,-5.076628352,-12.31079717,-21.86421174,16.49484536,-32.36409608,29.71962617,
Bosnia and Herzegovina,BIH,"Agriculture, forestry, and fishing, value added (annual % growth)",NV.AGR.TOTL.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.675616761,9.158312614,-7.241555184,11.84416666,4.871140158,5.719084522,2.139522477,4.245748541,-1.855680504,-3.96508712,-0.177885745,-11.34346912,15.75529455,-12.65788115,6.9328394,7.714112644,-8.042250759,9.104776372,-2.13138386,6.619203366,-8.075294476,1.516722276,
Belarus,BLR,"Agriculture, forestry, and fishing, value added (annual % growth)",NV.AGR.TOTL.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.648140866,-8.17050981,1.584228147,-15.90132867,-2.438562872,1.508295121,-5.455962078,-1.49074287,-7.169058058,8.95085407,1.420940247,2.891308714,7.571553816,13.24679527,2.457567524,5.942384944,4.805276047,8.606545623,0.283387978,2.380279412,6.674498271,6.395305986,-4.18826346,2.762541301,-2.419265342,3.934948254,4.398730715,-15.51200084,2.927676467,4.748704351,-4.084685307,4.438579655,
Belize,BLZ,"Agriculture, forestry, and fishing, value added (annual % growth)",NV.AGR.TOTL.KD.ZG,,,,,,,,,,,,6.306310999,3.389949547,5.122858235,8.577109075,3.411030174,-9.72222594,33.26928722,5.483357807,-1.641512279,1.136236263,2.379620248,4.618071255,-3.950133037,1.493438326,0.755195592,-4.909204015,17.5369425,0.07373871,6.241816985,11.27659649,4.453238786,12.81855124,5.070499518,3.728592839,-0.116455692,7.381992342,6.640553081,2.096901556,10.93774844,11.60633844,-1.333405667,-0.6321446,39.08745485,9.674915145,3.275785999,-7.031133487,-12.14724243,1.282023451,2.567914166,7.15664474,-8.320386587,14.64029232,-1.358311094,6.226741639,-6.944476888,-10.61954294,12.36309976,-2.385852364,-3.007682578,0.071377866,19.08889664,-0.11489183,
Bermuda,BMU,"Agriculture, forestry, and fishing, value added (annual % growth)",NV.AGR.TOTL.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.556632432,-10.15495296,8.951852993,-33.7180816,2.146563366,44.99338946,-4.933531698,-13.80180726,1.270863836,1.301179736,24.77022321,,
Bolivia,BOL,"Agriculture, forestry, and fishing, value added (annual % growth)",NV.AGR.TOTL.KD.ZG,,4.889298893,-0.967458227,5.625790136,2.034709756,5.571847509,3.666666664,-2.94748124,6.073992269,-9.370119731,4.365307293,3.696316979,6.770098737,8.058124172,4.24538786,9.808102348,5,1.70596394,-2.313741536,3.592368545,1.352068013,-3.385355565,5.607533966,-14.20432518,13.74735872,6.729248763,-3.160058862,2.07551958,4.115335963,-1.526845268,4.611818333,9.859885392,-4.235113812,4.143547209,6.672349704,1.403728674,6.704282471,4.554766474,-4.429181119,2.507101006,3.475380226,3.460881096,0.447307507,8.712849961,0.247833466,4.982831899,4.259476046,-0.505785632,2.614980176,3.681939134,-1.178079653,3.055873223,4.149438574,4.685121638,3.820058945,5.116094559,3.133453165,7.598600424,6.911447373,5.299646218,3.128588452,1.806892712,3.751270005,
Brazil,BRA,"Agriculture, forestry, and fishing, value added (annual % growth)",NV.AGR.TOTL.KD.ZG,,7.6,0.5,1,1.3,12.1,-1.7,5.7,1.4,6,5.6,10.154178,3.967430655,0.075501163,1.299594339,6.642972997,2.43912,12.11288672,-2.678678717,4.703332599,9.55,7.97,-0.22,-0.46,2.63,9.58,-8.02,14.97,0.84,2.85,-3.72,1.370000017,4.889999921,-0.069999935,5.449876942,4.076057277,2.953171108,0.813028018,3.408888021,6.525237768,2.723405916,5.200340337,8.020170838,8.306342204,1.995123557,1.120060503,4.639422806,3.247001017,5.770967211,-3.728679887,6.696942486,5.638646425,-3.082242261,8.361444022,2.790794472,3.314331395,-5.224217735,14.1523862,1.307055826,0.415036913,4.174578537,0.277889024,-1.743655578,
Barbados,BRB,"Agriculture, forestry, and fishing, value added (annual % growth)",NV.AGR.TOTL.KD.ZG,,,,,,,,,,,,,,,,,7.212446195,1.985066212,-0.058019861,8.236692604,5.461905856,-17.17423683,-2.485380114,3.898050974,9.379509376,-0.527704486,4.50928382,-11.16751269,-5.857142857,-8.952959028,7.166666664,-3.42147777,-9.661839528,-4.634563867,-0.18692098,-0.374542058,17.6692004,-0.638994993,-13.3440257,9.46192201,3.728847289,-9.477116616,-4.151663728,-3.954758321,-7.254939008,8.033875499,-7.537697998,1.371036847,-11.24260355,10.66666667,3.356282272,-10.74104913,9.141791045,10.85470085,2.390131072,-1.656626506,-0.382848392,-2.305918524,15.4209284,-0.272665303,1.025290499,-10.41948579,-6.419939577,
Brunei Darussalam,BRN,"Agriculture, forestry, and fishing, value added (annual % growth)",NV.AGR.TOTL.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.551863411,1.545530493,-0.664315165,4.426788834,1.235891849,2.912309286,1.383144054,11.33564912,3.667709281,11.17297245,6.558490918,5.845311518,5.180353131,11.30361393,11.98977301,1.307230789,-9.863819554,-4.467628054,3.741247464,5.709991777,-5.861399119,-2.189781022,7.462686567,-0.694444444,4.195804196,6.711409396,-3.660125786,-1.556530731,-1.575770196,-1.413152818,14.39443695,16.91832233,-3.310569305,
Bhutan,BTN,"Agriculture, forestry, and fishing, value added (annual % growth)",NV.AGR.TOTL.KD.ZG,,,,,,,,,,,,,,,,,,,,,,5.68086717,4.816130334,7.888847714,5.216754221,4.259787873,5.017116971,4.601261016,7.7326067,5.670350693,5.251222774,-0.807680003,0.584486155,-0.165454688,0.283010769,1.512545962,2.048193026,4.019576522,2.4386841,1.572001162,5.383797678,5.489420765,2.836496544,2.120826286,2.150117105,1.031078367,2.701819806,0.712872127,0.54588508,2.717666307,0.807274686,2.337830884,2.237712968,2.258615423,2.13247774,4.6599084,4.225055815,2.948275501,2.870721382,1.728558923,4.000006357,1.424264585,,
Botswana,BWA,"Agriculture, forestry, and fishing, value added (annual % growth)",NV.AGR.TOTL.KD.ZG,,2.463061952,3.605780324,3.480255013,3.643550163,-7.10140231,17.9150139,10.3004176,17.50971628,1.05960758,-1.703808632,25.8666763,26.27118344,31.16610436,9.785750575,-5.063037347,3.241662527,1.632276467,-3.312514493,-2.710807218,-4.730853221,-3.80833192,-5.421142587,-13.44732965,-8.51904409,4.457486829,1.769763319,28.13263036,19.58396683,-2.821387239,3.012442115,2.733631797,1.051983066,-2.452563385,-3.059914076,21.44682748,-3.227817651,-6.936832851,-5.021210942,8.604500742,-13.81452118,11.18901774,-20.48519805,20.12500106,0.472496264,-2.50307542,13.32766704,12.23511699,1.973856121,6.372374329,5.816764039,0.175046861,-8.531968836,1.329622461,-2.293149014,-2.847501734,15.41127019,-8.753422503,8.066321837,2.443740102,-2.654549974,-1.049646732,2.432552721,
Central African Republic,CAF,"Agriculture, forestry, and fishing, value added (annual % growth)",NV.AGR.TOTL.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.962096911,3.669449784,1.961885434,-44.49125046,-1.446570229,0.573664274,5.04383248,3.199524459,-65.95944334,3.146977427,4.541231256,246.4689139,1.799982073,
Canada,CAN,"Agriculture, forestry, and fishing, value added (annual % growth)",NV.AGR.TOTL.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.918232479,8.406578729,1.974705269,0.151946568,-3.334274191,9.44994108,8.944172556,0.771396871,-1.081408243,-5.896083142,7.205326727,-5.080359797,1.301989821,4.090033406,1.301661372,17.08547416,-6.664103913,4.354277416,4.114673008,2.298415003,-0.385585063,2.305097794,0.339549139,-8.689660937,12.03409542,
Central Europe and the Baltics,CEB,"Agriculture, forestry, and fishing, value added (annual % growth)",NV.AGR.TOTL.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.123428867,-0.041806285,-7.430015067,-4.48292247,-5.32571014,10.31285834,-1.438471713,1.837594309,15.05455049,-5.240396171,-1.966837047,-10.51426777,13.36137584,2.875816791,-9.377562689,5.501530074,-11.26036117,11.42211807,6.57556946,-5.082661225,3.194901755,1.795922928,1.919755205,-0.635530662,1.057383897,-1.073089048,-7.903030038,
Switzerland,CHE,"Agriculture, forestry, and fishing, value added (annual % growth)",NV.AGR.TOTL.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.734997581,2.919577671,-4.085582125,-6.24434354,2.636780558,-0.537540212,0.180513934,1.242000306,2.409791174,1.827034577,-7.51132423,2.75498023,-14.75214955,17.51992921,-3.589090162,-4.237869678,6.418451108,-0.086610353,4.787422969,-3.392255648,10.21329089,-3.673670422,-6.578687287,10.96749527,-9.433034091,0.939278577,-3.124189898,8.521517746,-3.811950472,-1.06385021,-7.25178087,11.03447273,
Channel Islands,CHI,"Agriculture, forestry, and fishing, value added (annual % growth)",NV.AGR.TOTL.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.277469631,-4.916539237,0.304345299,-20.63524571,18.31266149,,
Chile,CHL,"Agriculture, forestry, and fishing, value added (annual % growth)",NV.AGR.TOTL.KD.ZG,,-1.83638559,-4.55640408,6.202341317,1.294432927,1.123146807,20.88557607,2.752256115,5.066963399,-11.77471821,3.193997856,-1.096800997,-8.321431572,-9.979381443,26.75726574,4.372791519,-1.615819643,10.62448676,-3.708024037,6.170845418,3.834451283,3.846025773,-0.721477586,-2.096185524,8.956848776,7.045750443,7.621307341,9.524492086,11.51436023,6.2477471,9.109175453,2.428242239,12.0028145,3.122826701,7.542837353,6.915849962,-0.184428458,5.718903062,6.812630199,-1.819421605,8.174671664,4.278264947,5.4227212,4.597314345,10.55499983,11.93700916,10.14689275,1.170507119,7.890573987,-0.559221442,3.594804074,12.65258074,0.327439597,0.76734113,-2.311649807,3.401989993,3.289786623,3.805635381,3.761050404,-0.719771257,-2.699580004,4.317270272,0.081381033,
China,CHN,"Agriculture, forestry, and fishing, value added (annual % growth)",NV.AGR.TOTL.KD.ZG,,1.400000006,4.499999995,11.3,12.90000001,9.699999995,7.200000006,1.899999994,-1.599999991,0.799999989,7.700000005,1.900000007,-0.900000011,9.000000002,4.099999998,2.000000009,-1.800000007,-2.199999996,-1.113120879,6.13443148,-1.482469649,6.982534412,11.52882427,8.325893472,12.88061345,1.843879449,3.318687282,4.704184689,2.543933098,3.074999732,7.327732138,2.353530194,4.651003019,4.649179411,3.945545735,4.942642538,5.0398939,3.436640445,3.432994566,2.731373302,2.328518037,2.638071238,2.699946552,2.37205637,6.105019968,5.073914398,4.755278298,3.523649902,5.156004666,4.002425781,4.251069686,4.174289253,4.466541956,3.807199829,4.050468237,3.898521466,3.277813557,3.961291,3.4829175,3.07679356,3.131084562,7.073796365,4.132865655,
Cote d'Ivoire,CIV,"Agriculture, forestry, and fishing, value added (annual % growth)",NV.AGR.TOTL.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.940957678,-4.050426966,7.15593229,-2.657264649,4.157251194,16.18271956,2.878369762,2.95897368,12.94844775,11.3279598,2.998276304,7.917025405,1.040502939,5.095559999,
Cameroon,CMR,"Agriculture, forestry, and fishing, value added (annual % growth)",NV.AGR.TOTL.KD.ZG,,,,,,,4.018476914,6.305504726,5.263158237,5.436510425,4.892735979,1.291708214,5.809431135,3.916966094,4.832477829,1.229253136,1.335768548,1.318151157,3.78474272,14.92877394,0.247896343,13.15789112,3.822045782,-7.576943664,8.830347268,8.639549723,6.091903457,0.514445427,-12.66119617,7.114096663,-1.00000159,-4.000002302,6.000005469,12.40749063,6.841701692,6.40991475,2.174541949,2.865829179,3.32154207,7.073408003,1.784186337,3.383317929,2.512575611,3.198266699,8.318639285,-4.958468256,0.009583639,5.386361237,3.635915003,2.560605187,5.019469928,2.922310192,3.464707421,4.22412757,5.229005083,5.250318161,2.529873481,2.520316165,3.843857577,3.864156823,1.361913751,2.90970868,3.181504204,
